CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.00       0.69       0.68       0.69
depend-fp              0.00       0.33       0.32       0.33
issue                  0.00       0.00       0.07       0.00
issue-port2            0.00       0.06       0.00       0.06
branch                 0.00       0.09       0.09       0.09
mem-l3                 0.00       0.30       0.29       0.29
sync-futex           288.76       0.00       0.00       0.00
sync-unscheduled        0.00       1.69       4.25       4.10
imbalance-end          0.00       0.00       0.09       0.00
other                  1.65       0.05       0.05       0.08

total                290.41       3.21       5.84       5.64
