CPI                  Core 0     Core 1     Core 2     Core 3   
base                   1.49       1.57       1.57       0.00
depend-int             0.09       0.00       0.00       0.00
depend-branch          0.10       0.00       0.00       0.00
issue                  0.07       0.00       0.00       0.00
branch                 1.54       0.00       0.00       0.00
mem-l1d                0.14       0.00       0.00       0.00
mem-l2                 0.06       0.00       0.00       0.00
mem-l3                 0.44       1.71       1.71       0.00
mem-dram               0.57       0.86       0.86       0.00
sync-futex             0.53       0.00       0.00       0.00
sync-unscheduled        0.00      37.89      37.88       0.00
imbalance-end          0.00       5.40       5.40   6753667816.00
other                  0.08       0.90       0.90    8000.00

total                  5.11      48.33      48.32   6753675816.00
