CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.83       0.72       0.61       0.00
depend                 0.17       0.00       0.00       0.00
depend-int             0.00       0.09       0.00       0.00
depend-fp              0.00       0.15       0.00       0.00
issue-port015          0.00       0.02       0.00       0.00
branch                 0.00       0.10       0.00       0.00
ifetch                 0.00       0.03       0.00       0.00
mem-l1d                0.00       0.07       0.00       0.00
mem-l2                 0.00       0.02       0.00       0.00
sync-futex            13.87       0.14       0.00       0.00
imbalance-end          0.00       0.00      59.05   1508892116.00
other                  0.31       0.04       0.47    8000.00

total                 15.18       1.38      60.13   1508900116.00
