CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.84       0.82       0.00       0.00
depend-int             0.14       0.13       0.00       0.00
depend-fp              0.16       0.15       0.00       0.00
depend-branch          0.10       0.09       0.00       0.00
branch                 0.70       0.66       0.00       0.00
mem-l1d                0.16       0.15       0.00       0.00
sync-unscheduled        1.44       3.03       0.00       0.00
imbalance-end          0.00       0.00   3020322166.00   3020322166.00
other                  0.04       0.05    8000.00    8000.00

total                  3.57       5.08   3020330166.00   3020330166.00
