CPI                  Core 0     Core 1     Core 2     Core 3   
base                   1.02       1.57       0.00       0.00
depend                 0.00       0.25       0.00       0.00
depend-int             0.09       0.00       0.00       0.00
depend-branch          0.09       0.00       0.00       0.00
issue                  0.07       0.00       0.00       0.00
branch                 1.18       0.40       0.00       0.00
mem-l1d                0.12       0.00       0.00       0.00
mem-l2                 0.05       0.00       0.00       0.00
mem-l3                 0.39       1.68       0.00       0.00
mem-dram               0.54       0.85       0.00       0.00
sync-futex             1.05       0.00       0.00       0.00
sync-unscheduled        0.00      14.19       0.00       0.00
imbalance-end          0.00       2.70   6104241779.18   6104241779.18
other                  0.02       0.22    8000.00    8000.00

total                  4.60      21.86   6104249779.18   6104249779.18
