CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       1.56       1.56       0.00
depend                 0.00       0.25       0.25       0.00
depend-int             0.05       0.00       0.00       0.00
depend-branch          0.05       0.00       0.00       0.00
issue-port2            0.02       0.00       0.00       0.00
branch                 0.49       0.40       0.40       0.00
mem-l1d                0.06       0.00       0.00       0.00
mem-l3                 0.22       1.71       1.71       0.00
mem-dram               0.44       0.86       0.86       0.00
sync-futex             0.53       0.00       0.00       0.00
sync-unscheduled        0.00      12.46      12.46       0.00
imbalance-end          0.00       2.91       2.91   2851654904.00
other                  0.04       0.24       0.24    8000.00

total                  2.15      20.40      20.41   2851662904.00
