CPI                  Core 0     Core 1     Core 2     Core 3   
base                   1.14       0.65       0.74       0.70
depend-int             0.00       0.00       0.00       0.05
depend-branch          0.00       0.00       0.00       0.05
issue-port2            0.00       0.00       0.00       0.07
branch                 0.00       0.00       0.00       0.47
mem                    0.00       0.00       0.46       0.00
mem-l1d                0.87       0.00       0.00       0.22
mem-dram               0.04       0.00       0.00       0.00
sync-futex             1.96       0.00       0.00       0.00
sync-unscheduled        0.00      11.71      17.99       1.70
imbalance-end          0.00      10.22      15.72       0.00
other                  0.00       0.36       0.34       0.07

total                  4.02      22.94      35.25       3.34
