CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.37       0.38       0.00       0.00
depend-fp              0.27       0.27       0.00       0.00
issue-port2            0.06       0.06       0.00       0.00
branch                 0.06       0.06       0.00       0.00
mem-l3                 0.27       0.27       0.00       0.00
sync-unscheduled        1.09       1.09       0.00       0.00
imbalance-end          0.00       0.00   1307454941.88   1307454941.88
other                  0.05       0.05    8000.00    8000.00

total                  2.18       2.17   1307462941.88   1307462941.88
