CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.00       0.69       0.69       0.68
depend-int             0.00       0.02       0.02       0.02
depend-fp              0.00       0.32       0.29       0.30
issue-port2            0.00       0.04       0.04       0.04
branch                 0.00       0.09       0.09       0.09
mem-l1d                0.00       0.03       0.04       0.04
mem-l3                 0.00       0.47       0.43       0.45
sync-futex            59.58       0.00       0.00       0.00
sync-unscheduled        0.00       0.03       0.03       0.03
other                  1.12       0.03       0.04       0.04

total                 60.70       1.73       1.67       1.69
