CPI                  Core 0     Core 1     Core 2     Core 3   
base                   1.01       1.57       1.57       0.00
depend-int             0.09       0.00       0.00       0.00
depend-branch          0.09       0.00       0.00       0.00
issue-port2            0.04       0.00       0.00       0.00
branch                 1.16       0.40       0.40       0.00
mem-l1d                0.12       0.00       0.00       0.00
mem-l2                 0.05       0.00       0.00       0.00
mem-l3                 0.39       1.72       1.71       0.00
mem-dram               0.54       0.86       0.86       0.00
sync-futex             0.53       0.00       0.00       0.00
sync-unscheduled        0.00      28.10      28.10       0.00
imbalance-end          0.00       5.40       5.40   5385682345.84
other                  0.05       0.49       0.50    8000.00

total                  4.08      38.53      38.54   5385690345.84
