CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.67       0.70       0.68       0.51
depend-int             0.07       0.07       0.00       0.00
depend-fp              0.26       0.31       0.27       0.00
branch                 0.21       0.16       0.21       0.40
mem-l1d                0.06       0.05       0.00       0.00
sync-futex             0.00       0.00       0.00      22.82
sync-unscheduled        1.65       2.05       8.42       2.27
imbalance-end          0.09       0.00       0.00       0.33
other                  0.05       0.04       0.17       0.28

total                  3.05       3.38       9.74      26.61
