CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.36       0.39       0.00       0.00
depend                 0.00       0.20       0.00       0.00
depend-int             0.07       0.00       0.00       0.00
depend-branch          0.07       0.00       0.00       0.00
issue-port2            0.03       0.00       0.00       0.00
branch                 0.66       0.19       0.00       0.00
mem-l1d                0.09       0.00       0.00       0.00
mem-l3                 0.27       1.10       0.00       0.00
mem-dram               0.48       0.67       0.00       0.00
sync-futex             0.57       0.00       0.00       0.00
sync-unscheduled        0.00       8.01       0.00       0.00
imbalance-end          0.00       1.89   3520730801.91   3520730801.91
other                  0.05       0.17    8000.00    8000.00

total                  2.65      12.61   3520738801.91   3520738801.91
