CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.62       1.57       0.00       0.00
depend                 0.00       0.25       0.00       0.00
depend-int             0.08       0.00       0.00       0.00
depend-branch          0.08       0.00       0.00       0.00
issue-port2            0.04       0.00       0.00       0.00
branch                 0.88       0.41       0.00       0.00
mem-l1d                0.11       0.00       0.00       0.00
mem-l3                 0.30       1.68       0.00       0.00
mem-dram               0.50       0.85       0.00       0.00
sync-futex             1.05       0.00       0.00       0.00
sync-unscheduled        0.00      10.63       0.00       0.00
imbalance-end          0.00       2.09   4940098672.00   4940098672.00
other                  0.07       0.22    8000.00    8000.00

total                  3.72      17.69   4940106672.00   4940106672.00
