CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.62       0.68       0.68       0.68
depend-int             0.08       0.00       0.00       0.00
depend-branch          0.08       0.00       0.00       0.00
issue-port2            0.04       0.00       0.00       0.00
branch                 0.88       0.00       0.00       0.00
mem-l1d                0.11       0.00       0.00       0.00
mem-l2                 0.03       0.00       0.00       0.00
mem-l3                 0.30       1.28       1.28       1.28
mem-dram               0.49       0.74       0.74       0.74
sync-futex             0.24       0.00       0.00       0.00
sync-unscheduled        0.00      31.74      31.75      31.75
imbalance-end          0.00       6.26       6.26       6.26
other                  0.03       0.67       0.68       0.68

total                  2.90      41.38      41.39      41.39
