CPI                  Core 0     Core 1     Core 2     Core 3   
base                   1.48       1.57       1.57       0.00
depend-int             0.09       0.00       0.00       0.00
depend-branch          0.10       0.00       0.00       0.00
issue                  0.07       0.00       0.00       0.00
branch                 1.55       0.00       0.00       0.00
mem-l1d                0.14       0.00       0.00       0.00
mem-l2                 0.06       0.00       0.00       0.00
mem-l3                 0.44       1.71       1.71       0.00
mem-dram               0.56       0.86       0.86       0.00
sync-futex             0.53       0.00       0.00       0.00
sync-unscheduled        0.00      37.11      37.12       0.00
imbalance-end          0.00       5.40       5.41   6645843852.00
other                  0.02       0.89       0.90    8000.00

total                  5.03      47.55      47.56   6645851852.00
