CPI                  Core 0     Core 1     Core 2     Core 3   
base                   1.04       0.25       0.00       0.00
depend-int             0.00       0.12       0.00       0.00
depend-fp              0.00       0.14       0.00       0.00
depend-branch          0.00       0.08       0.00       0.00
issue                  0.12       0.02       0.00       0.00
branch                 0.00       0.38       0.00       0.00
mem                    0.11       0.00       0.00       0.00
mem-l1d                0.00       0.13       0.00       0.00
sync-futex             9.03       0.00       0.00       0.00
imbalance-start        0.00       0.10       0.00       0.00
imbalance-end          0.00       0.07   1670966650.00   1670966650.00
other                  0.07       0.01       0.00       0.00

total                 10.37       1.31   1670966650.00   1670966650.00
