CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.00
depend-int             0.00       0.06       0.05       0.00
depend-branch          0.00       0.01       0.01       0.00
issue-port2            0.00       0.02       0.03       0.00
issue-port015          0.00       0.02       0.02       0.00
branch                 0.00       0.12       0.09       0.00
ifetch                 0.00       0.07       0.08       0.00
mem-l1d                0.00       0.07       0.06       0.00
mem-l3                 0.00       0.02       0.02       0.00
mem-dram               0.13       0.01       0.01       0.00
sync-futex             6.91       0.00       0.31       0.00
sync-unscheduled        0.00       0.03       0.04       0.00
imbalance              0.00       0.00       0.01       0.00
imbalance-end          0.00       0.09       0.00   275660230.00
other                  0.25       0.01       0.01       0.00

total                  7.54       0.78       1.01   275660230.00
