CPI                  Core 0     Core 1     Core 2     Core 3   
base                   1.04       0.88       0.00       0.00
depend-int             0.00       0.15       0.00       0.00
depend-fp              0.00       0.18       0.00       0.00
depend-branch          0.00       0.10       0.00       0.00
issue                  0.00       0.03       0.00       0.00
branch                 0.00       0.77       0.00       0.00
mem-l1d                0.00       0.17       0.00       0.00
sync-futex            18.05       0.00       0.00       0.00
sync-unscheduled        0.00       0.10       0.00       0.00
imbalance-end          0.00       0.07   3122666234.00   3122666234.00
other                  0.30       0.01    8000.00    8000.00

total                 19.39       2.44   3122674234.00   3122674234.00
