CPI                  Core 0     Core 1     Core 2     Core 3   
base                   1.13       0.38       0.00       0.00
depend-int             0.07       0.06       0.00       0.00
depend-fp              0.00       0.28       0.00       0.00
branch                 0.79       0.11       0.00       0.00
mem-l1d                0.13       0.04       0.00       0.00
sync-futex             4.85       0.00       0.00       0.00
sync-unscheduled        0.00       0.32       0.00       0.00
imbalance-end          0.00       0.09   354939486.14   354939486.14
other                  0.14       0.02    8000.00    8000.00

total                  7.12       1.30   354947486.14   354947486.14
