CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.66       0.66       0.00       0.00
depend-int             0.10       0.10       0.00       0.00
depend-branch          0.02       0.02       0.00       0.00
issue-port2            0.04       0.04       0.00       0.00
issue-port015          0.03       0.03       0.00       0.00
branch                 0.25       0.25       0.00       0.00
ifetch                 0.16       0.16       0.00       0.00
mem-l1d                0.13       0.13       0.00       0.00
mem-dram               0.03       0.04       0.00       0.00
sync-unscheduled        0.02       0.02     181.08     186.51
imbalance-end          0.00       0.00      48.75      50.21
other                  0.03       0.03       2.65       2.73

total                  1.48       1.49     232.48     239.45
