CPI                  Core 0     Core 1     Core 2     Core 3   
base                   1.49       0.39       0.00       0.00
depend-int             0.09       0.00       0.00       0.00
depend-branch          0.10       0.00       0.00       0.00
issue                  0.07       0.00       0.00       0.00
branch                 1.57       0.00       0.00       0.00
mem-l1d                0.13       0.00       0.00       0.00
mem-l2                 0.06       0.00       0.00       0.00
mem-l3                 0.43       1.10       0.00       0.00
mem-dram               0.55       0.67       0.00       0.00
sync-futex             0.57       0.00       0.00       0.00
sync-unscheduled        0.00      18.72       0.00       0.00
imbalance-end          0.00       2.70   6737556254.63   6737556254.63
other                  0.02       0.56    8000.00    8000.00

total                  5.08      24.13   6737564254.63   6737564254.63
