CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.62       0.68       0.00       0.00
depend                 0.00       0.23       0.00       0.00
depend-int             0.08       0.00       0.00       0.00
depend-branch          0.08       0.00       0.00       0.00
issue-port2            0.04       0.00       0.00       0.00
branch                 0.87       0.26       0.00       0.00
mem-l1d                0.11       0.00       0.00       0.00
mem-l2                 0.03       0.00       0.00       0.00
mem-l3                 0.30       1.22       0.00       0.00
mem-dram               0.48       0.71       0.00       0.00
sync-futex             0.69       0.00       0.00       0.00
sync-unscheduled        0.00      10.64       0.00       0.00
imbalance-end          0.00       2.08    1246.04   4470145642.00
other                  0.06       0.18      12.39    8000.00

total                  3.38      16.01    1258.42   4470153642.00
