CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.81       0.70       0.70       0.61
depend-int             0.00       0.09       0.10       0.00
depend-fp              0.09       0.15       0.15       0.00
issue-port015          0.00       0.02       0.02       0.00
branch                 0.13       0.09       0.09       0.00
ifetch                 0.00       0.03       0.03       0.00
mem                    0.08       0.00       0.00       0.00
mem-l1d                0.00       0.07       0.07       0.00
mem-l2                 0.00       0.02       0.02       0.00
mem-l3                 0.00       0.03       0.03       0.00
sync-futex             7.04       0.27       0.27       0.00
imbalance-end          0.00       0.00       0.00      31.92
other                  0.17       0.03       0.03       0.47

total                  8.33       1.51       1.52      33.00
