CPI                  Core 0     Core 1     Core 2     Core 3   
base                   1.14       0.25       0.00       0.00
depend-int             0.08       0.05       0.00       0.00
depend-fp              0.00       0.24       0.00       0.00
depend-branch          0.07       0.00       0.00       0.00
branch                 0.80       0.08       0.00       0.00
mem-l1d                0.13       0.03       0.00       0.00
sync-futex             3.64       0.00       0.00       0.00
imbalance-start        0.00       0.32       0.00       0.00
imbalance-end          0.00       0.09   295346704.00   295346704.00
other                  0.07       0.02       0.00       0.00

total                  5.93       1.08   295346704.00   295346704.00
