CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.25
depend-int             0.06       0.06       0.06       0.06
depend-branch          0.01       0.01       0.01       0.01
issue-port2            0.02       0.02       0.02       0.02
issue-port015          0.02       0.02       0.02       0.02
branch                 0.12       0.12       0.12       0.12
ifetch                 0.09       0.09       0.09       0.09
mem-l1d                0.07       0.07       0.07       0.07
mem-l3                 0.01       0.01       0.01       0.01
mem-dram               0.07       0.07       0.07       0.07
other                  0.01       0.01       0.01       0.01

total                  0.74       0.74       0.74       0.74
