CPI                  Core 0     Core 1     Core 2     Core 3   
base                   1.02       1.57       0.00       0.00
depend                 0.00       0.25       0.00       0.00
depend-int             0.09       0.00       0.00       0.00
depend-branch          0.09       0.00       0.00       0.00
issue                  0.07       0.00       0.00       0.00
branch                 1.16       0.40       0.00       0.00
mem-l1d                0.12       0.00       0.00       0.00
mem-l2                 0.05       0.00       0.00       0.00
mem-l3                 0.39       1.68       0.00       0.00
mem-dram               0.54       0.85       0.00       0.00
sync-futex             1.05       0.00       0.00       0.00
sync-unscheduled        0.00      14.14       0.00       0.00
imbalance-end          0.00       2.70   6091220942.51   6091220942.51
other                  0.02       0.22    8000.00    8000.00

total                  4.59      21.82   6091228942.51   6091228942.51
