CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.31       1.83       0.00       0.00
depend-int             0.00       0.08       0.00       0.00
depend-fp              0.00       0.37       0.00       0.00
branch                 0.30       0.33       0.00       0.00
mem-l1d                0.00       0.05       0.00       0.00
sync-futex            14.68       0.00       0.00       0.00
sync-unscheduled        0.00       0.12       0.00       0.00
imbalance-end          0.00       0.03   773041455.42   773041455.42
other                  0.22       0.03    8000.00    8000.00

total                 15.51       2.84   773049455.42   773049455.42
