CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.00       0.47       0.47       0.47
depend-int             0.00       0.02       0.02       0.02
depend-fp              0.00       0.30       0.28       0.28
issue-port2            0.00       0.05       0.05       0.05
branch                 0.00       0.07       0.07       0.07
mem-l1d                0.00       0.03       0.04       0.03
mem-l3                 0.00       0.41       0.38       0.40
sync-futex            48.95       0.00       0.00       0.00
sync-unscheduled        0.00       0.02       0.02       0.02
other                  0.94       0.04       0.04       0.05

total                 49.89       1.40       1.37       1.38
