CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.00       0.37       0.37       0.37
depend-int             0.00       0.05       0.05       0.05
depend-fp              0.00       0.18       0.18       0.18
issue                  0.00       0.03       0.03       0.03
branch                 0.00       0.09       0.09       0.10
mem-l1d                0.00       0.07       0.07       0.07
sync-futex           318.31       0.00       0.00       0.00
sync-unscheduled        0.00       1.62       1.65       1.66
other                  1.41       0.04       0.02       0.04

total                319.72       2.46       2.48       2.51
