CPI                  Core 0     Core 1     Core 2     Core 3   
base                   1.48       0.68       0.00       0.00
depend-int             0.09       0.00       0.00       0.00
depend-branch          0.10       0.00       0.00       0.00
issue                  0.07       0.00       0.00       0.00
branch                 1.53       0.00       0.00       0.00
mem-l1d                0.13       0.00       0.00       0.00
mem-l2                 0.06       0.00       0.00       0.00
mem-l3                 0.43       1.22       0.00       0.00
mem-dram               0.55       0.71       0.00       0.00
sync-futex             0.68       0.00       0.00       0.00
sync-unscheduled        0.00      18.52       0.00       0.00
imbalance-end          0.00       2.70   6833760128.00   6833760128.00
other                  0.02       0.65    8000.00    8000.00

total                  5.15      24.48   6833768128.00   6833768128.00
