CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.66       0.62       0.00       0.00
depend                 0.22       0.00       0.00       0.00
depend-int             0.00       0.08       0.00       0.00
depend-branch          0.00       0.08       0.00       0.00
issue-port2            0.00       0.04       0.00       0.00
branch                 0.23       0.89       0.00       0.00
mem-l1d                0.00       0.11       0.00       0.00
mem-l2                 0.00       0.03       0.00       0.00
mem-l3                 1.17       0.31       0.00       0.00
mem-dram               0.69       0.50       0.00       0.00
sync-futex             0.00       0.69       0.00       0.00
sync-unscheduled       10.19       0.00       0.00       0.00
imbalance-end          2.00       0.00   4461634618.00   4461634618.00
other                  0.18       0.04    8000.00    8000.00

total                 15.35       3.39   4461642618.00   4461642618.00
