CPI                  Core 0     Core 1     Core 2     Core 3   
base                   1.48       0.00       0.00       0.00
depend-int             0.09       0.00       0.00       0.00
depend-branch          0.10       0.00       0.00       0.00
issue                  0.07       0.00       0.00       0.00
branch                 1.53       0.00       0.00       0.00
mem-l1d                0.13       0.00       0.00       0.00
mem-l2                 0.06       0.00       0.00       0.00
mem-l3                 0.43       0.77       0.77       0.00
mem-dram               0.55       0.54       0.54       0.00
sync-futex             0.20       0.00       0.00       0.00
imbalance-start        0.00      37.01      37.00       0.00
imbalance-end          0.00       5.40       5.40   6195504509.00
other                  0.02       0.62       0.62       0.00

total                  4.67      44.34      44.32   6195504509.00
