CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.57       0.80       0.79       0.79
depend-int             0.06       0.07       0.07       0.07
depend-fp              0.00       0.33       0.33       0.33
depend-branch          0.06       0.00       0.00       0.00
issue                  0.04       0.00       0.00       0.00
branch                 0.48       0.19       0.17       0.17
mem-l1d                0.11       0.05       0.04       0.04
sync-futex             2.71       0.00       0.00       0.00
sync-unscheduled        0.00       0.59       0.59       0.59
imbalance-end          0.00       0.16       0.21       0.20
other                  0.03       0.04       0.04       0.04

total                  4.08       2.24       2.24       2.24
