CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.67       0.67       0.00       0.00
depend-int             0.06       0.06       0.00       0.00
depend-fp              0.21       0.21       0.00       0.00
issue                  0.04       0.04       0.00       0.00
branch                 0.14       0.14       0.00       0.00
mem-l1d                0.08       0.08       0.00       0.00
sync-unscheduled        1.22       1.24       0.00       0.00
imbalance-end          0.00       0.00   1126172580.00   1126172580.00
other                  0.03       0.02    8000.00    8000.00

total                  2.46       2.47   1126180580.00   1126180580.00
