                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   99436425 |  548030202 |  548371317 |   25092829
  Cycles                             |  374763600 |  374763600 |  374763600 |  374763600
  IPC                                |       0.27 |       1.46 |       1.46 |       0.07
  Time (ns)                          |   93690900 |   93690900 |   93690900 |   93690900
  Idle time (ns)                     |   81427548 |   15494400 |   15467068 |   90823038
  Idle time (%)                      |      86.9% |      16.5% |      16.5% |      96.9%
Branch predictor stats               |            |            |            |           
  num correct                        |    5479284 |   48283216 |   48346890 |    1567276
  num incorrect                      |     126831 |     861510 |     869199 |       8046
  misprediction rate                 |      2.26% |      1.75% |      1.77% |      0.51%
  mpki                               |       1.28 |       1.57 |       1.59 |       0.32
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   11053032 |   45781733 |   45810022 |    2793038
    num misses                       |        545 |         74 |         71 |         85
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   25388989 |  128459594 |  128409001 |    7844069
    num misses                       |       9805 |     541946 |     543811 |       2308
    miss rate                        |      0.04% |      0.42% |      0.42% |      0.03%
    mpki                             |       0.10 |       0.99 |       0.99 |       0.09
  L2 TLB                             |            |            |            |           
    num accesses                     |      10350 |     542020 |     543882 |       2393
    num misses                       |       3031 |      18066 |      18618 |        942
    miss rate                        |     29.29% |      3.33% |      3.42% |     39.36%
    mpki                             |       0.03 |       0.03 |       0.03 |       0.04
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   11053032 |   45781733 |   45810022 |    2793038
    num cache misses                 |      19104 |     912793 |     913554 |       5264
    miss rate                        |      0.17% |      1.99% |      1.99% |      0.19%
    mpki                             |       0.19 |       1.67 |       1.67 |       0.21
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   25388989 |  128459594 |  128409001 |    7844069
    num cache misses                 |     375035 |    4546125 |    4508235 |     140039
    miss rate                        |      1.48% |      3.54% |      3.51% |      1.79%
    mpki                             |       3.77 |       8.30 |       8.22 |       5.58
  Cache L2                           |            |            |            |           
    num cache accesses               |     408596 |    5463945 |    5422695 |     145315
    num cache misses                 |     364091 |     460245 |     439870 |     124372
    miss rate                        |     89.11% |      8.42% |      8.11% |     85.59%
    mpki                             |       3.66 |       0.84 |       0.80 |       4.96
  Cache L3                           |            |            |            |           
    num cache accesses               |     379411 |     465402 |     442118 |     124384
    num cache misses                 |      58421 |      28171 |       2965 |      44440
    miss rate                        |     15.40% |      6.05% |      0.67% |     35.73%
    mpki                             |       0.59 |       0.05 |       0.01 |       1.77
DRAM summary                         |            |            |            |           
  num dram accesses                  |     135861 |          0 |          0 |          0
  average dram access latency (ns)   |   14276.44 |        inf |        inf |        inf
  average dram queueing delay        |   14223.01 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      28549 |       3297 |       2422 |       6338
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
