CPI                  Core 0     Core 1     Core 2     Core 3   
base                   1.11       0.62       0.00       0.00
depend                 0.18       0.00       0.00       0.00
depend-int             0.00       0.09       0.00       0.00
depend-fp              0.00       0.15       0.00       0.00
issue-port015          0.00       0.02       0.00       0.00
branch                 0.14       0.08       0.00       0.00
ifetch                 0.00       0.03       0.00       0.00
mem-l1d                0.00       0.07       0.00       0.00
mem-l2                 0.00       0.02       0.00       0.00
sync-futex            12.35       0.16       0.00       0.00
imbalance-end          0.00       0.00      54.37   1388066518.00
other                  0.18       0.03       0.95    8000.00

total                 13.96       1.27      55.32   1388074518.00
