CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.53       0.53       0.00       0.00
depend-int             0.09       0.09       0.00       0.00
depend-branch          0.02       0.02       0.00       0.00
issue-port2            0.04       0.04       0.00       0.00
issue-port015          0.03       0.03       0.00       0.00
branch                 0.21       0.21       0.00       0.00
ifetch                 0.14       0.14       0.00       0.00
mem-l1d                0.12       0.12       0.00       0.00
mem-dram               0.04       0.04       0.00       0.00
imbalance-end          0.00       0.00   896919108.97   896919108.97
other                  0.04       0.04   24000.00   24000.00

total                  1.26       1.26   896943108.97   896943108.97
