CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.62       1.57       1.57       0.00
depend-int             0.08       0.00       0.00       0.00
depend-branch          0.08       0.00       0.00       0.00
issue-port2            0.04       0.00       0.00       0.00
branch                 0.88       0.41       0.40       0.00
mem-l1d                0.11       0.00       0.00       0.00
mem-l2                 0.03       0.00       0.00       0.00
mem-l3                 0.30       1.71       1.71       0.00
mem-dram               0.50       0.86       0.86       0.00
sync-futex             0.53       0.00       0.00       0.00
sync-unscheduled        0.00      21.18      21.19       0.00
imbalance-end          0.00       4.17       4.17   4247370108.00
other                  0.03       0.49       0.49    8000.00

total                  3.20      30.39      30.39   4247378108.00
