CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.00       0.00
depend-fp              0.24       0.24       0.00       0.00
issue-port2            0.04       0.04       0.00       0.00
branch                 0.05       0.05       0.00       0.00
mem-l3                 0.20       0.20       0.00       0.00
sync-unscheduled        0.82       0.82   10805.02       0.00
imbalance-end          0.00       0.00       0.00   988146512.00
other                  0.05       0.05       1.69    8000.00

total                  1.65       1.64   10806.71   988154512.00
