CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.36       0.36       0.00       0.00
depend-int             0.08       0.07       0.00       0.00
depend-branch          0.06       0.07       0.00       0.00
issue                  0.04       0.00       0.00       0.00
branch                 0.55       0.64       0.00       0.00
mem-l1d                0.10       0.09       0.00       0.00
mem-l3                 0.44       0.40       0.00       0.00
mem-dram               0.42       0.64       0.00       0.00
sync-futex             0.00       1.07       0.00       0.00
sync-unscheduled        1.26       1.60       0.00       0.00
imbalance-end          0.59       0.00   3550382989.92   3550382989.92
other                  0.05       0.09    8000.00    8000.00

total                  3.94       5.03   3550390989.92   3550390989.92
