CPI                  Core 0     Core 1     Core 2     Core 3   
base                   1.41       1.41       1.41       0.00
depend-int             0.11       0.11       0.11       0.00
depend-branch          0.03       0.03       0.03       0.00
issue-port2            0.04       0.04       0.04       0.00
issue-port015          0.04       0.04       0.04       0.00
branch                 0.45       0.45       0.45       0.00
ifetch                 0.28       0.28       0.28       0.00
mem-l1d                0.15       0.15       0.15       0.00
mem-dram               0.05       0.05       0.05       0.00
imbalance-end          0.00       0.00       0.00   1850425468.00
other                  0.03       0.03       0.03    8000.00

total                  2.59       2.59       2.59   1850433468.00
