CPI                  Core 0     Core 1     Core 2     Core 3   
base                   1.14       0.72       0.71       0.71
depend-int             0.07       0.07       0.07       0.07
depend-fp              0.00       0.33       0.32       0.32
depend-branch          0.07       0.00       0.00       0.00
issue                  0.05       0.00       0.00       0.00
branch                 0.82       0.18       0.16       0.16
mem-l1d                0.13       0.05       0.04       0.04
sync-futex             2.49       0.00       0.00       0.00
sync-unscheduled        0.00       1.00       1.00       1.00
imbalance-end          0.00       0.27       0.30       0.30
other                  0.02       0.03       0.03       0.03

total                  4.80       2.64       2.63       2.63
