CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.00
depend-int             0.00       0.12       0.12       0.00
depend-fp              0.00       0.14       0.14       0.00
depend-branch          0.00       0.08       0.08       0.00
issue                  0.00       0.02       0.02       0.00
branch                 0.00       0.37       0.37       0.00
mem                    0.08       0.00       0.00       0.00
mem-l1d                0.00       0.13       0.13       0.00
mem-l3                 0.00       0.02       0.02       0.00
sync-futex             4.58       0.00       0.00       0.00
imbalance-start        0.00       0.06       0.06       0.00
imbalance-end          0.00       0.04       0.04   813850688.00
other                  0.07       0.01       0.00       0.00

total                  4.99       1.24       1.24   813850688.00
