CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.37       0.38       0.00       0.00
depend-int             0.05       0.05       0.00       0.00
depend-fp              0.18       0.18       0.00       0.00
issue-port2            0.02       0.02       0.00       0.00
branch                 0.10       0.10       0.00       0.00
mem-l1d                0.07       0.07       0.00       0.00
sync-unscheduled        0.90       0.77       0.00       0.00
imbalance-end          0.00       0.00   758906053.09     310.99
other                  0.04       0.04    8000.00       3.31

total                  1.72       1.61   758914053.09     314.31
