CPI                  Core 0     Core 1     Core 2     Core 3   
base                   1.11       0.25       0.25       0.25
depend-int             0.07       0.06       0.06       0.00
depend-fp              0.09       0.10       0.10       0.00
issue-port1            0.05       0.00       0.00       0.00
issue-port015          0.00       0.01       0.01       0.00
branch                 0.14       0.04       0.04       0.00
ifetch                 0.00       0.02       0.02       0.00
mem                    0.08       0.00       0.00       0.00
mem-l1d                0.00       0.05       0.05       0.00
mem-l2                 0.00       0.01       0.01       0.00
mem-l3                 0.00       0.02       0.02       0.00
sync-futex             3.28       0.31       0.30       0.00
imbalance-end          0.00       0.00       0.00      18.67
other                  0.04       0.02       0.02       0.40

total                  4.88       0.89       0.88      19.33
