CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.61       0.68       0.68       0.68
depend-int             0.08       0.00       0.00       0.00
depend-branch          0.08       0.00       0.00       0.00
issue-port2            0.04       0.00       0.00       0.00
branch                 0.86       0.00       0.00       0.00
mem-l1d                0.11       0.00       0.00       0.00
mem-l2                 0.03       0.00       0.00       0.00
mem-l3                 0.31       1.27       1.28       1.27
mem-dram               0.50       0.74       0.74       0.74
sync-futex             0.24       0.00       0.00       0.00
sync-unscheduled        0.00      31.49      31.48      31.49
imbalance-end          0.00       6.26       6.26       6.26
other                  0.04       0.68       0.67       0.67

total                  2.90      41.11      41.10      41.11
