CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.36       0.39       0.39       0.39
depend-int             0.07       0.00       0.00       0.00
depend-branch          0.07       0.00       0.00       0.00
issue-port2            0.03       0.00       0.00       0.00
branch                 0.66       0.00       0.00       0.00
mem-l1d                0.10       0.00       0.00       0.00
mem-l2                 0.03       0.00       0.00       0.00
mem-l3                 0.27       1.15       1.15       1.15
mem-dram               0.48       0.70       0.70       0.70
sync-futex             0.20       0.00       0.00       0.00
sync-unscheduled        0.00      24.20      24.20      24.20
imbalance-end          0.00       5.67       5.67       5.67
other                  0.04       0.58       0.58       0.58

total                  2.29      32.70      32.70      32.69
