CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.51       0.75       0.72       0.72
depend-int             0.06       0.07       0.07       0.07
depend-fp              0.00       0.33       0.32       0.32
depend-branch          0.06       0.00       0.00       0.00
issue                  0.04       0.00       0.00       0.00
branch                 0.45       0.18       0.16       0.15
mem-l1d                0.11       0.05       0.04       0.04
sync-futex             2.54       0.00       0.00       0.00
sync-unscheduled        0.00       0.55       0.55       0.55
imbalance-end          0.00       0.15       0.20       0.20
other                  0.02       0.03       0.03       0.03

total                  3.80       2.09       2.09       2.09
