CPI                  Core 0     Core 1     Core 2     Core 3   
base                   1.11       0.25       0.00       0.00
depend-int             0.00       0.06       0.00       0.00
depend-fp              0.09       0.10       0.00       0.00
issue-port015          0.00       0.01       0.00       0.00
branch                 0.14       0.04       0.00       0.00
ifetch                 0.00       0.02       0.00       0.00
mem                    0.08       0.00       0.00       0.00
mem-l1d                0.00       0.05       0.00       0.00
mem-l2                 0.00       0.01       0.00       0.00
mem-l3                 0.00       0.02       0.00       0.00
sync-futex             6.34       0.15       0.00       0.00
imbalance-end          0.00       0.00      30.80   789127212.00
other                  0.18       0.02       0.65       0.00

total                  7.94       0.72      31.45   789127212.00
