CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.31       1.54       1.54       1.12
depend-int             0.00       0.11       0.11       0.00
depend-fp              0.00       0.17       0.17       0.00
issue                  0.00       0.04       0.04       0.00
branch                 0.00       0.16       0.15       0.00
ifetch                 0.00       0.06       0.06       0.00
mem-l1d                0.00       0.08       0.08       0.00
mem-l3                 0.00       0.05       0.05       0.00
sync-futex            12.75       0.17       0.18       0.00
imbalance-end          0.00       0.00       0.00      51.25
other                  0.29       0.04       0.04       0.51

total                 13.34       2.42       2.42      52.88
