CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.00       0.00       0.00
depend-int             0.05       0.00       0.00       0.00
depend-branch          0.05       0.00       0.00       0.00
issue-port2            0.02       0.00       0.00       0.00
branch                 0.49       0.00       0.00       0.00
mem-l1d                0.06       0.00       0.00       0.00
mem-l3                 0.22       0.79       0.79       0.79
mem-dram               0.44       0.56       0.56       0.56
sync-futex             0.14       0.00       0.00       0.00
imbalance-start        0.00      18.77      18.78      18.78
imbalance-end          0.00       4.37       4.37       4.37
other                  0.04       0.63       0.63       0.63

total                  1.76      25.13      25.13      25.14
