CPI                  Core 0     Core 1     Core 2     Core 3   
base                   1.15       0.38       0.38       0.00
depend-int             0.07       0.06       0.06       0.00
depend-fp              0.00       0.28       0.28       0.00
depend-branch          0.07       0.00       0.00       0.00
issue                  0.05       0.00       0.00       0.00
branch                 0.83       0.11       0.11       0.00
mem-l1d                0.13       0.04       0.04       0.00
sync-futex             2.45       0.00       0.00       0.00
sync-unscheduled        0.00       0.67       0.67       0.00
imbalance-end          0.00       0.19       0.19   237844503.24
other                  0.01       0.02       0.02    8000.00

total                  4.77       1.75       1.75   237852503.24
