CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.00       0.25       0.25
depend                 0.09       0.00       0.10       0.10
branch                 0.46       0.00       0.48       0.46
mem-l1d                0.06       0.00       0.06       0.06
mem-l3                 0.25       0.76       0.32       0.32
mem-dram               0.34       0.55       0.74       0.28
sync-futex             0.00       0.00       1.08       0.00
sync-unscheduled        2.95       3.54       2.53       3.01
imbalance-start        0.00      18.84       0.00       0.00
imbalance-end          0.79       4.35       0.00       0.80
other                  0.06       0.60       0.06       0.06

total                  5.25      28.63       5.63       5.34
