CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.00       0.62       0.62       0.63
depend-int             0.00       0.06       0.06       0.06
depend-fp              0.00       0.21       0.21       0.21
depend-branch          0.00       0.02       0.02       0.02
issue-port2            0.00       0.02       0.02       0.02
issue-port015          0.00       0.00       0.00       0.01
branch                 0.00       0.14       0.14       0.14
mem-l1d                0.00       0.08       0.08       0.08
sync-futex           170.85       0.00       0.00       0.00
dvfs-transition        0.00       0.01       0.00       0.00
imbalance-end          0.00       0.23       0.23       0.00
other                  1.61       0.03       0.05       0.03

total                172.45       1.43       1.43       1.19
