CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.00       0.25       0.25       0.00
depend-int             0.00       0.01       0.01       0.00
depend-fp              0.00       0.24       0.24       0.00
depend-branch          0.00       0.01       0.01       0.00
issue-port2            0.00       0.04       0.04       0.00
branch                 0.00       0.05       0.05       0.00
mem-l1d                0.00       0.02       0.02       0.00
mem-l3                 0.00       0.23       0.22       0.00
sync-futex            44.33       0.00       0.00       0.00
imbalance-start        0.00       0.01       0.01       0.00
imbalance-end          0.00       0.00       0.00   524530730.00
other                  0.66       0.01       0.01       0.00

total                 44.99       0.87       0.87   524530730.00
