CPI                  Core 0     Core 1     Core 2     Core 3   
base                   1.14       0.25       0.25       0.00
depend-int             0.07       0.05       0.05       0.00
depend-fp              0.00       0.24       0.23       0.00
depend-branch          0.07       0.00       0.00       0.00
issue                  0.05       0.00       0.00       0.00
branch                 0.83       0.07       0.07       0.00
mem-l1d                0.13       0.03       0.03       0.00
sync-futex             1.79       0.00       0.00       0.00
imbalance-start        0.00       0.67       0.67       0.00
imbalance-end          0.00       0.18       0.19   205169046.00
other                  0.01       0.02       0.02       0.00

total                  4.12       1.51       1.51   205169046.00
