CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       1.84       1.81       1.81
depend                 0.07       0.00       0.00       0.00
depend-int             0.00       0.08       0.08       0.08
depend-fp              0.00       0.37       0.37       0.37
branch                 0.23       0.34       0.31       0.29
mem-l1d                0.06       0.05       0.05       0.05
sync-futex             4.92       0.00       0.00       0.00
sync-unscheduled        0.00       0.28       0.28       0.28
imbalance-end          0.00       0.07       0.13       0.16
other                  0.04       0.03       0.03       0.03

total                  5.57       3.06       3.06       3.06
