CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.00       0.25
depend-fp              0.23       0.24       0.00       0.24
issue-port2            0.04       0.04       0.00       0.04
branch                 0.05       0.05       0.00       0.04
mem-l3                 0.20       0.20       0.00       0.20
sync-unscheduled        1.61       1.62     574.71       1.66
imbalance              0.00       0.02       0.00       0.00
other                  0.07       0.05       0.62       0.05

total                  2.45       2.47     575.33       2.48
