CPI                  Core 0     Core 1     Core 2     Core 3   
base                   1.42       0.00       0.00       0.00
depend-int             0.11       0.00       0.00       0.00
depend-branch          0.03       0.00       0.00       0.00
issue-port2            0.04       0.00       0.00       0.00
issue-port015          0.04       0.00       0.00       0.00
branch                 0.44       0.00       0.00       0.00
ifetch                 0.28       0.00       0.00       0.00
mem-l1d                0.15       0.00       0.00       0.00
imbalance-end          0.00   1827585860.00   1827585860.00   1827585860.00
other                  0.05    8000.00    8000.00    8000.00

total                  2.56   1827593860.00   1827593860.00   1827593860.00
