CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.42       0.39       0.39       0.39
depend-int             0.07       0.00       0.00       0.00
depend-branch          0.07       0.00       0.00       0.00
issue-port2            0.03       0.00       0.00       0.00
branch                 0.71       0.00       0.00       0.00
mem-l1d                0.10       0.00       0.00       0.00
mem-l2                 0.03       0.00       0.00       0.00
mem-l3                 0.27       1.14       1.14       1.14
mem-dram               0.47       0.70       0.70       0.70
sync-futex             0.20       0.00       0.00       0.00
sync-unscheduled        0.00      25.78      25.78      25.77
imbalance-end          0.00       5.66       5.66       5.66
other                  0.03       0.58       0.58       0.58

total                  2.40      34.25      34.25      34.24
