CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.42       0.43       0.42       0.00
depend-int             0.12       0.13       0.12       0.00
depend-fp              0.14       0.15       0.14       0.00
depend-branch          0.08       0.09       0.08       0.00
branch                 0.47       0.49       0.45       0.00
mem-l1d                0.14       0.15       0.14       0.00
sync-unscheduled        2.84       3.04       2.83      41.94
imbalance-end          0.06       0.00       0.00       0.00
other                  0.06       0.07       0.06       0.52

total                  4.33       4.54       4.24      42.47
