CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.79       0.82       0.70       0.00
depend-int             0.00       0.10       0.00       0.00
depend-fp              0.00       0.16       0.00       0.00
issue-port015          0.00       0.02       0.00       0.00
branch                 0.00       0.11       0.00       0.00
ifetch                 0.00       0.04       0.00       0.00
mem-l1d                0.00       0.08       0.00       0.00
mem-l2                 0.00       0.02       0.00       0.00
sync-futex            15.50       0.13       0.00       0.00
imbalance-end          0.00       0.00      65.21   1667164409.82
other                  0.48       0.05       0.53    8000.00

total                 16.77       1.52      66.44   1667172409.82
