CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.31       1.82       1.81       0.00
depend                 0.09       0.00       0.00       0.00
depend-int             0.00       0.08       0.08       0.00
depend-fp              0.00       0.37       0.37       0.00
branch                 0.29       0.32       0.31       0.00
mem-l1d                0.08       0.05       0.05       0.00
sync-futex             7.29       0.00       0.00       0.00
sync-unscheduled        0.00       0.24       0.24       0.00
imbalance-end          0.00       0.06       0.08   404442019.29
other                  0.05       0.03       0.03    8000.00

total                  8.11       2.97       2.97   404450019.29
