CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.31       1.54       1.12       0.00
depend-int             0.00       0.11       0.00       0.00
depend-fp              0.00       0.17       0.00       0.00
issue-port015          0.00       0.02       0.00       0.00
branch                 0.00       0.16       0.00       0.00
ifetch                 0.00       0.06       0.00       0.00
mem-l1d                0.00       0.08       0.00       0.00
sync-futex            24.61       0.08       0.00       0.00
imbalance-end          0.00       0.00      98.25   2506144432.58
other                  0.29       0.06       0.51    8000.00

total                 25.21       2.29      99.88   2506152432.58
